question_id,question,answer
Q1,New hires reach baseline productivity within two months.,3.0
Q2,Role responsibilities are clearly documented and accessible.,3.0
Q3,We have reliable data on individual and team capacity.,2.0
Q4,There is sufficient internal training to support new tools.,2.0
Q5,Skills and competencies are regularly updated in a central place.,2.0
Q6,HR receives frequent requests to clarify task ownership.,4.0
Q7,Automation would free enough staff time to justify its cost.,4.0
Q8,Access to client communications is managed appropriately for privacy.,3.0
Q9,We have an effective mentor program for junior staff.,3.0
Q10,Staff are generally open to small process changes that reduce repetitive work.,4.0
Q11,We have a documented cross-training plan for critical roles.,2.0
Q12,Staff can easily find up-to-date onboarding and process documents.,2.0
Q13,HR receives enough feedback to improve workflows before problems become serious.,3.0
